;point_key;point_label;operator_key;tso_eic_code;operator_label;direction_key;valid_from;valid_to;has_data;is_virtualized_commercially;virtualized_commercially_since;is_virtualized_operationally;virtualized_operationally_since;is_pipe_in_pipe;related_operators;related_points;pipe_in_pipe_with_tso_key;pipe_in_pipe_with_tso_label;is_double_reporting;double_reporting_with_tso_key;double_reporting_with_tso_label;tso_item_identifier;tp_tso_item_label;tp_tso_valid_from;tp_tso_valid_to;tp_tso_remarks;tp_tso_conversion_factor;tp_rmk_grid_conversion_factor_capacity_default;tp_tso_g_c_v_min;tp_tso_g_c_v_max;tp_tso_g_c_v_remarks;tp_tso_g_c_v_unit;tp_tso_entry_exit_type;multi_annual_contracts_is_available;multi_annual_contracts_remarks;annual_contracts_is_available;annual_contracts_remarks;half_annual_contracts_is_available;half_annual_contracts_remarks;quarterly_contracts_is_available;quarterly_contracts_remarks;monthly_contracts_is_available;monthly_contracts_remarks;daily_contracts_is_available;daily_contracts_remarks;day_ahead_contracts_is_available;day_ahead_contracts_remarks;available_contracts_remarks;sentence_c_m_p_unsuccessful;sentence_c_m_p_unavailable;sentence_c_m_p_auction;sentence_c_m_p_made_available;last_update_date_time;is_invalid;is_c_a_m_relevant;is_c_m_p_relevant;booking_platform_key;booking_platform_label;booking_platform_u_r_l;virtual_reverse_flow;virtual_reverse_flow_remark;t_s_o_country;t_s_o_balancing_zone;cross_border_point_type;e_u_relationship;connected_operators;adjacent_tso_eic;adjacent_operator_key;adjacent_country;point_type;id_point_type;adjacent_zones;id;data_set
10;ITP-00289;BE Quality Conversion Point H-Zone;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;True;BE-TSO-0001/ITP-00290;Fluxys BelgiumBE Quality Conversion Point L-Zone;21Z000000000246N;Quality Conversion H;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;True;;True;;True;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;;;;No;;BE;BeLux;In-country EU;within EU;;;;BE;Transmission Point;5;L-Zone;5BE-TSO-0001ITP-00289entry;5
11;ITP-00289;BE Quality Conversion Point H-Zone;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;True;BE-TSO-0001/ITP-00290;Fluxys BelgiumBE Quality Conversion Point L-Zone;21Z000000000246N;Quality Conversion H;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;True;;True;;True;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;;;;No;;BE;BeLux;In-country EU;within EU;;;;BE;Transmission Point;5;L-Zone;5BE-TSO-0001ITP-00289exit;5
12;ITP-00290;BE Quality Conversion Point L-Zone;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;;;;21Z000000000245P;Quality Conversion L;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;True;;True;;True;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;;;;No;;BE;L-Zone;In-country EU;within EU;;;;BE;Transmission Point;5;BeLux;5BE-TSO-0001ITP-00290entry;5
13;ITP-00290;BE Quality Conversion Point L-Zone;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;;;;21Z000000000245P;Quality Conversion L;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;True;;True;;True;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;;;;No;;BE;L-Zone;In-country EU;within EU;;;;BE;Transmission Point;5;BeLux;5BE-TSO-0001ITP-00290exit;5
14;LNG-00017;Zeebrugge LNG;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;;;;21Z0000000000082;Zeebrugge LNG Terminal;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;True;;True;;True;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;Yes;;BE;BeLux;In-country EU;within EU;;;;BE;LNG Entry point;2;;5BE-TSO-0001LNG-00017exit;5
15;VTP-00029;Zeebrugge Beach;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;;;;21Z0000000000090;Zeebrugge Beach;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;In-country EU;within EU;;;;BE;Trading Point;9;BeLux;5BE-TSO-0001VTP-00029entry;5
16;VTP-00029;Zeebrugge Beach;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;;;;21Z0000000000090;Zeebrugge Beach;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;In-country EU;within EU;;;;BE;Trading Point;9;BeLux;5BE-TSO-0001VTP-00029exit;5
17;ITP-00038;Hilvarenbeek;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;;;;21Z000000000243T;Hilvarenbeek;2000-01-01;2099-12-31;Result of the merger of Hilvarenbeek and Hilvarenbeek/Zandvliet-L (NL) / Hilvarenbeek (BE);1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;True;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;L-Zone;Cross-Border EU|EU;within EU;GTS;21X-NL-A-A0A0A-Z;NL-TSO-0001;NL;Cross-Border Transmission IP within EU;0;Netherlands;5BE-TSO-0001ITP-00038entryNL-TSO-0001;5
18;ITP-00038;Hilvarenbeek;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;;;;21Z000000000243T;Hilvarenbeek;2000-01-01;2099-12-31;Result of the merger of Hilvarenbeek and Hilvarenbeek/Zandvliet-L (NL) / Hilvarenbeek (BE);1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;False;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;Yes;;BE;L-Zone;Cross-Border EU|EU;within EU;GTS;21X-NL-A-A0A0A-Z;NL-TSO-0001;NL;Cross-Border Transmission IP within EU;0;Netherlands;5BE-TSO-0001ITP-00038exitNL-TSO-0001;5
19;ITP-00061;Zeebrugge IZT;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;;;;21Z0000000000074;Zeebrugge IZT;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;True;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;Cross-Border EU|EU;within EU;IUK;21X-GB-B-A0A0A-Z;UK-TSO-0003;UK;Cross-Border Transmission IP within EU;0;IUK;5BE-TSO-0001ITP-00061entryUK-TSO-0003;5
20;ITP-00061;Zeebrugge IZT;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;;;;21Z0000000000074;Zeebrugge IZT;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;True;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;Cross-Border EU|EU;within EU;IUK;21X-GB-B-A0A0A-Z;UK-TSO-0003;UK;Cross-Border Transmission IP within EU;0;IUK;5BE-TSO-0001ITP-00061exitUK-TSO-0003;5
21;ITP-00088;Zandvliet H-gas;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;;;;21Z0000000001062;Zandvliet H;2000-01-01;2020-03-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;True;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;Cross-Border EU|EU;within EU;GTS;21X-NL-A-A0A0A-Z;NL-TSO-0001;NL;Cross-Border Transmission IP within EU;0;Netherlands;5BE-TSO-0001ITP-00088entryNL-TSO-0001;5
22;ITP-00088;Zandvliet H-gas;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;;;;21Z0000000001062;Zandvliet H;2000-01-01;2020-03-31;old name Zandvliet H-gas;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;False;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;Yes;;BE;BeLux;Cross-Border EU|EU;within EU;GTS;21X-NL-A-A0A0A-Z;NL-TSO-0001;NL;Cross-Border Transmission IP within EU;0;Netherlands;5BE-TSO-0001ITP-00088exitNL-TSO-0001;5
23;ITP-00101;Zelzate;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;;;;21Z000000000019Y;Zelzate 1;2000-01-01;2020-03-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;True;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;Cross-Border EU|EU;within EU;GTS;21X-NL-A-A0A0A-Z;NL-TSO-0001;NL;Cross-Border Transmission IP within EU;0;Netherlands;5BE-TSO-0001ITP-00101entryNL-TSO-0001;5
24;ITP-00101;Zelzate;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;;;;21Z000000000019Y;Zelzate 1;2000-01-01;2020-03-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;True;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;Cross-Border EU|EU;within EU;GTS;21X-NL-A-A0A0A-Z;NL-TSO-0001;NL;Cross-Border Transmission IP within EU;0;Netherlands;5BE-TSO-0001ITP-00101exitNL-TSO-0001;5
25;ITP-00106;Zeebrugge ZPT;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;;;;21Z000000000046V;Zeebrugge ZPT;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;True;;True;;True;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;Cross-Border EU|Non-EU;between EU and Non-EU;Gassco;                ;NO-TSO-0001;NO;Cross-Border Transmission IP between EU and Non-EU (import);1;;5BE-TSO-0001ITP-00106entryNO-TSO-0001;5
26;ITP-00106;Zeebrugge ZPT;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;exit;;;True;False;;False;;False;;;;;;;;21Z000000000046V;Zeebrugge ZPT;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;True;;True;;True;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;False;False;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;Cross-Border EU|Non-EU;between EU and Non-EU;Gassco;                ;NO-TSO-0001;NO;Cross-Border Transmission IP between EU and Non-EU (import);1;;5BE-TSO-0001ITP-00106exitNO-TSO-0001;5
27;ITP-00112;Eynatten 1 (BE) // Lichtenbusch / Raeren (DE);BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;entry;;;True;False;;False;;False;;;;;;;;21Z0000000000155;Eynatten 1;2000-01-01;2099-12-31;;1.000000;;11.300000;11.300000;;kWh/Nm³;;False;;True;;False;;True;;True;;True;;True;;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.;Currently no capacity has been made available on this point through the application of the congestion-management procedures.;2022-01-10T16:01:50+01:00;False;True;True;PRISMA;PRISMA;https://platform.prisma-capacity.eu/;No;;BE;BeLux;Cross-Border EU|EU;within EU;GASCADE;21X-DE-H-A0A0A-L;DE-TSO-0001;DE;Cross-Border Transmission IP within EU;0;DE THE BZ;5BE-TSO-0001ITP-00112entryDE-TSO-0001;5
